date;quarter;type
2026-05-04;Q2-2026;earnings
2026-03-02;Q1-2026;earnings
2025-11-03;Q4-2025;earnings
2025-08-04;Q3-2025;earnings
2025-05-05;Q2-2025;earnings
2025-02-27;Q1-2025;earnings
2024-11-07;Q4-2024;earnings
2024-08-05;Q3-2024;earnings
2024-05-07;Q2-2024;earnings
2024-02-28;Q1-2024;earnings
2023-11-06;Q4-2023;earnings
2023-07-31;Q3-2023;earnings
2023-05-01;Q2-2023;earnings
2023-02-27;Q1-2023;earnings
2022-11-01;Q4-2022;earnings
2022-08-01;Q3-2022;earnings
2022-05-02;Q2-2022;earnings
2022-02-28;Q1-2022;earnings
2021-11-01;Q4-2021;earnings
2021-08-02;Q3-2021;earnings
2021-05-04;Q2-2021;earnings
2021-03-01;Q1-2021;earnings
2020-11-02;Q4-2020;earnings
2020-08-03;Q3-2020;earnings
2020-05-04;Q2-2020;earnings
2020-03-02;Q1-2020;earnings
