date;quarter;type
2026-05-11;Q2-2026;earnings
2026-03-31;Q1-2026;earnings
2025-11-13;Q4-2025;earnings
2025-08-12;Q3-2025;earnings
2025-05-14;Q2-2025;earnings
2025-03-27;Q1-2025;earnings
2024-11-13;Q4-2024;earnings
2024-08-08;Q3-2024;earnings
2024-05-15;Q2-2024;earnings
2024-03-07;Q1-2024;earnings
2023-11-05;Q4-2023;earnings
2023-08-08;Q3-2023;earnings
2023-05-15;Q2-2023;earnings
2023-03-21;Q1-2023;earnings
2022-11-14;Q4-2022;earnings
2022-08-15;Q3-2022;earnings
2022-05-16;Q2-2022;earnings
2022-03-28;Q1-2022;earnings
2021-11-15;Q4-2021;earnings
2021-08-16;Q3-2021;earnings
2021-05-26;Q2-2021;earnings
2021-03-25;Q1-2021;earnings
