date;quarter;type
2026-05-07;Q2-2026;earnings
2026-02-26;Q1-2026;earnings
2025-10-30;Q4-2025;earnings
2025-07-31;Q3-2025;earnings
2025-05-08;Q2-2025;earnings
2025-02-27;Q1-2025;earnings
2024-11-12;Q4-2024;earnings
2024-08-01;Q3-2024;earnings
2024-05-02;Q2-2024;earnings
2024-02-22;Q1-2024;earnings
2023-11-02;Q4-2023;earnings
2023-08-03;Q3-2023;earnings
2023-05-04;Q2-2023;earnings
2023-02-28;Q1-2023;earnings
2022-11-03;Q4-2022;earnings
2022-08-04;Q3-2022;earnings
2022-05-10;Q2-2022;earnings
2022-02-24;Q1-2022;earnings
2021-11-04;Q4-2021;earnings
2021-08-12;Q3-2021;earnings
2021-05-05;Q2-2021;earnings
2021-02-25;Q1-2021;earnings
2020-11-10;Q4-2020;earnings
2020-09-01;Q3-2020;earnings
